category,question,answer
聯外交通/場內交通,請問機車可否進機場，有何規定,"
一、機場周邊道路因與國道2號機場支線相連，考量避免機車誤闖高速公路，同時，依據交通部國道高速公路局日交通量統計，機場周邊尚有客運巴士、遊覽車、計程車等，每日超過6萬輛車次進出站區，考量整體安全性，故未開放機車進入機場。
二、騎乘機車民眾，可至貨運區停放機車後，搭乘免費接駁巴士至航廈區。
"
聯外交通/場內交通,請問行動不便旅客入境台灣，有無相關交通工具可以使用（因有行李/輪椅等）,"
    行動不便者，可搭乘本機場排班計程車，或洽桃園縣復康巴士、外車，但需事先通知航警局備查，詳見計程車頁面
"
聯外交通/場內交通,請問巡迴巴士的時間,"
    本公司巡迴巴士時刻會依據旅客建議不定時修改，詳見巡迴巴士頁面
"
聯外交通/場內交通,請問要如何從第一航廈到第二航廈（管制區內入境層）,"入境層（包含轉機區域）可透過電車（Skytrain）或步行連接兩航廈：


        1. 電車（Skytrain）：乘（候）車時間約2-8分鐘不等，詳見機場電車頁面
    

        2. 步行：兩航廈透過入境長廊相通，A、D區相連，B、C區相連，旅客可透過步行通行，長廊上設有多處藝文展覽供旅客欣賞，步行時間約15至20分鐘．
    
"
聯外交通/場內交通,請問從桃園機場出發到台灣各地的客運有哪些,"
    可搭乘的客運有：國光、長榮、大有、建明、統聯、和欣、桃園、葛瑪蘭客運，更多資訊詳見客運巴士頁面
"
聯外交通/場內交通,請問第一、第二航廈是否相通，如何通行，需花費多少時間,"

        一、非管制區可透過航廈巡迴巴士及電車（Skytrain）連結兩航廈：
        

                1. 航廈巡迴巴士：班距為10～30分鐘，乘車時間約5分鐘，詳見巡迴巴士頁面
            

                2. 電車（Skytrain）：至出境側搭乘，乘（候）車時間約2～8分鐘不等，詳見機場電車頁面
            


二、出境管制區：兩航廈透過出境長廊相通，登機門A1-A9與D1-D10相連、B1-B9與C1-C10相連，旅客可透過步行通行，長廊上設有多處免稅商店及服務設施供旅客使用，步行時間約15～20分鐘。

        三、入境管制區（包含轉機區域）可透過電車（Skytrain）或步行連接兩航廈：
        

                1. 電車（Skytrain）：乘（候）車時間約2～8分鐘不等，詳見機場電車頁面
            

                2. 步行：兩航廈透過入境長廊相通，A、D區相連，B、C區相連，旅客可透過步行通行，長廊上設有多處藝文展覽供旅客欣賞，步行時間約15～20分鐘。
            


"
聯外交通/場內交通,請問要如何從第一航廈到第二航廈（管制區外）,"非管制區可透過航廈巡迴巴士及電車（Skytrain）連結兩航廈：

1. 航廈巡迴巴士：班距為10-30分鐘，乘車時間約5分鐘，詳見巡迴巴士頁面
2. 電車（Skytrain）：至出境側搭乘，乘（候）車時間約2-8分鐘不等，詳見機場電車頁面
"
聯外交通/場內交通,請問機場內有無租車服務,"租車服務 (詳見租車頁面)：

1. 慶賓租車：第一航廈接機大廳
    
2. 和運租車：第二航廈接機大廳
    
"
聯外交通/場內交通,請問機場排班計程車，收費是如何計算的,"
    目前依桃園縣政府公告，按計程車收費表加成15%收費，高速公路通行費另計。另視旅客需要，可駛往全台各地，車資亦定有標準費率收費，詳見計程車頁面。
"
聯外交通/場內交通,請問客運巴士可以事先上網購票嗎,目前尚未提供上網購票服務，請至現場或車上購票。
機場服務費,何謂機場服務費,"

    為加強機場服務及設施，發展觀光產業，得收取出境航空旅客之機場服務費。（發展觀光條例 第38條）
"
機場服務費,機場服務費之收費方式,"
    機場服務費，每人新臺幣五百元，由航空公司隨機票代收。持用未含機場服務費機票之旅客，應於辦理出境報到手續時，向航空公司櫃檯補繳該項費用。（出境航空旅客機場服務費收費及作業辦法 第3條）
"
機場服務費,機場服務費收費對象,"
    搭機出境之旅客，均應依規定繳納機場服務費，以下對象除外 （出境航空旅客機場服務費收費及作業辦法 第2條）：


1. 未滿二足歲之兒童。
2. 入境參加由觀光主管機關規劃提供半日遊程之過境旅客。
"
機場服務費,機場服務費收入用在哪裡,"
    機場公司收取之機場服務費，除分配予觀光發展基金外，應全部用於機場專用區及機場專用區相關建設。（國際機場園區發展條例 第15條）
    
    分配方式如下：


1. 百分之五十分配予觀光發展基金。（觀光局預決算書網頁）
2. 百分之五十分配予機場公司。（國際機場園區發展條例施行細則 第7條）


    桃園機場公司自迄今已投資逾新台幣450億元於機場各項建設，歷年機場投資於建設與維護之費用大於機場服務費收入，目前正在進行第三航站區建設計畫、空側設施全面強化…等工程（詳閱本公司第三航站及重大工程專區頁面及決算書頁面之固定資產建設改良擴充計畫預算與實際進度比較表），為辦理機場建設與設施保養維護，向旅客收取機場服務費，敬請各位旅客給予理解。
"
 轉機,請問動物申請轉機需要之文件,"

1. 攜帶活體動物出境需符合入境國相關檢疫規定，請先洽出境國檢疫單位確認完成相關檢疫申請程序。
2. 有攜帶活體動物轉機需求時，亦需經本國檢疫局進行轉機檢查，建議可透過航空公司協助提出申請。
"
 轉機,護照快過期是否會影響轉機,一般而言，各國皆規定護照效期需6個月以上才可入境，如護照效期不足雖可轉機，但將無法入境目的國。
 轉機,請問因轉機，可否在管制區內過夜,"轉機旅客可過夜休息區域：

1. 第二航廈轉機休息區：於第二航廈管制區3樓D區出境大廳設有13張躺椅供旅客休息。
2. 第一、二航廈出境大廳4F設有環亞付費貴賓室。
3. 第一航廈出境大廳4F環亞貴賓室旁設有免費休憩空間。
4. 第二航廈出境大廳北側四樓設有免費休憩空間。
"
 轉機,請問轉機需要預留多少時間才夠,考量跨航廈轉機移動距離，建議應預留開始辦理登機時間前40～60分鐘時間。
 轉機,請問轉機是否要通過證照查驗、海關、安檢,轉機屬於過境，因為沒有實際入境，所以不需經過海關申報、入境證照查驗，僅須就隨身物品再經過一次轉機安檢即可。
 轉機,請問轉機，但不入境台灣是否需要簽證,無論本國籍或外國籍，皆不用簽證。
 轉機,請問不同航廈轉機要多少時間，動線如何進行,"
1. 桃園機場登機門分為A1-A9、B1-B9&B1R、C1-C10&C5R、D1-D10&D5R，A、B、C、D區共設有4個轉機點，其中A、B區位於第一航廈，C、D區位於第二航廈。
2. 不同航廈轉機可透過步行或電車（Skytrain），旅客可依據下段航程之登機門資訊，循轉機標誌前進，即可抵達電車搭乘位置、進而抵達正確之轉機點。
3. 桃園機場入境轉機層亦設有轉機流程說明及機場平面圖，歡迎轉機旅客多加利用。
4. 轉機時間視登機門位置有所不同，建議旅客預留40～60分鐘，較有足夠寬裕之時間辦理轉機流程。
"
 轉機,請問轉機旅客是否需要繳交機場稅,由桃園機場轉機過境旅客，自2023年3月31日起開票者，隨機票收取轉機過境設施使用費新臺幣500元。
 轉機,請問轉機時間較久，那裡可以休息,"轉機旅客可休息區域：

1. 第一航廈2F轉機休息區
2. 第二航廈轉機休息區：於第二航廈管制區3樓D區出境走廊設有13張躺椅供旅客休息。
3. 第一、二航廈出境大廳4F設有環亞付費貴賓室。
4. 第一航廈出境大廳4F環亞貴賓室旁設有免費休憩空間。
5. 第二航廈出境大廳北側四樓設有免費休憩空間。
6. 候機室躺椅：兩航廈每個候機室內皆設有3~4張躺椅供旅客休息。
"
 設施,請問因搭乘早班飛機，可否提前到機場，可到哪裡休息,桃園機場為24小時營運機場，旅客若搭乘早班飛機，可提前至機場，機場大廳設有座椅，可供暫時休息；此外，第一及第二航廈管制區內皆設有24小時付費貴賓室，及免費休憩區域滿足有休息需求之旅客。
 設施,請問餐廳營業時間,"
    桃園機場內餐廳營業時間不等，更多資訊請見服務設施頁面
"
 設施,請問管制區内有無貴賓室，在那裏且如何使用,"

一、商務中心暨貴賓室，位置如下：


                1. 摩爾國際商務中心：第二航廈出境4樓貴賓室區域，通過證照查驗後，搭乘電扶梯往4樓前進。
                入場服務費：2-12歲 550人/元，12歲以上 1100人/元。
                其他與各銀行信用卡或會員卡之相關使用優惠，洽詢電話 03-3983333
            

                2. 環亞貴賓室：第一航廈出境4樓貴賓室區域，通過證照查驗後循貴賓室標誌至4樓。
                入場服務費2小時1300人/元，5小時2000人/元，10小時2400人/元。
                其他與各銀行信用卡或會員卡之相關使用優惠，洽詢電話 03-3931931
            



二、航空公司貴賓室，位置如下：

1. 中華航空：第一航廈出境4樓、第二航廈出境3樓近D4登機門
2. 中華航空（梅苑）：第二航廈出境4樓
3. 長榮航空：第二航廈出境4樓
4. 新加坡航空：第二航廈出境4樓
5. 國泰航空：第一航廈出境4樓



使用方式及條件請洽詢各航空公司。"
 設施,請問入境處有無貴賓室，可讓接機者休息,"
1. 入境無貴賓室
2. 接機大廳設有座椅，可供接機者休息，另設有商店、餐飲服務。
"
 設施,請問免稅店營業時間,"
1. 菸酒商店配合班機起降時間營運，更多資訊詳見菸酒、巧克力頁面
2. 其餘商店營業時間06：00~23：30，更多資訊詳見國際精品頁面
"
 設施,請問過年期間各服務時間是否有變動（銀行兌換/電信業者/行李寄存/餐飲服務）,過年期間各項服務時間（銀行兌換/電信業者/行李寄存/餐飲服務）皆無變動。
 招商與廣告,請問想要在機場刊廣告要詢問何單位,第一航廈、第二航廈刊登廣告委外廠商：廣豐國際媒體股份有限公司 02-2719-9050#9301 劉怡伶 E-mail：candy.liu@omnimedia.com.tw
 招商與廣告,請問如何能在免稅店內設立商店,"
1. 桃園機場綜合免稅商店目前係以促參方式，委託廠商經營管理，除經營國際免稅精品（如皮件、手錶）、香水化商品外，尚有珠寶、藝品、土特產品、3C產品、書店及藥妝店等，另需投資各項公共服務設施：如哺乳室、育嬰室、祈禱室、文化藝廊、景觀休憩室、旅客諮詢服務櫃檯、免費上網服務、親子遊戲區、購物手推車、吸菸室、舒壓按摩區。
2. 若有興趣參加投標者，請隨時注意桃園機場公司網站及公共工程委員會促參網站。
"
 招商與廣告,請問如何能在免稅店內販售商品,若有意願在免稅商店販售商品者，請逕洽詢昇恒昌公司（02-81785588）或采盟公司（02-87738800）。
市區預辦登機服務,在機場捷運A1臺北車站辦理登機手續的話，到達桃園機場後能無需再報到櫃台排隊嗎?,是的，請持您的護照及登機證進行安全檢查及護照查驗，完成後即可進入免稅區域候機。
市區預辦登機服務,可否在機場捷運A1臺北車站辦理機票改票作業？預辦登機務服務是否有其他限制?,"
    機票改票或相關修改請先洽各航空公司網頁或電話洽詢，中華航空03-3988888，長榮航空03-3516805。


    預辦登機服務因部分限制，不收理年齡12歲以下單獨旅行兒童、團體、攜帶寵物及攜帶超大超長行李之旅客，超大超長行李標準長：寬高總和不超過158公分，且最長邊不超過70公分。
"
市區預辦登機服務,在機場捷運A1臺北車站辦理預辦登機，如果是下午4點的飛機最晚可到幾點辦理，出境前一天是否可以提前辦理?,如果是下午4點的飛機，最晚要在當日飛機起飛前3小時，即下午1點前到機場捷運線臺北車站辦理登機手續，也可在早上6點到下午1點之間的任意時間段來辦理登機手續和出境檢查。出境前一天無法辦理。
市區預辦登機服務,是否提供特殊服務?,"
    請洽各航空公司洽詢，中華航空03-3988888，長榮航空03-3516805。
"
市區預辦登機服務,機場捷運A1臺北車站可辦理哪些航空公司的登機手續?,目前可辦理中華航空、華信航空、長榮航空、立榮航空。
市區預辦登機服務,辦理市區預辦登機服務必須搭乘機場捷運嗎？或是要另外收費?,欲辦理市區預辦登機服務旅客不需額外付費，並且可選擇任一交通工具前往機場，但建議您多多利用大眾交通工具。
市區預辦登機服務,機場捷運A1臺北車站是否有行李打包、電信、保險服務?,"
    欲瞭解詳車站設施請詳見桃園捷運公司網站。
"
市區預辦登機服務,機場捷運A1臺北車站是否提供退稅服務?,受理自桃園國際機場出境之外籍旅客，其當次來臺旅遊累計含稅消費金額（不含已辦現場小額退稅及特約市區退稅部分）在新台幣二萬四千元以下且經篩選無須向海關申請查驗者，申請退稅。
攜帶物品出入台灣,詢問香菸及酒類商品出入境的限制,依「入境旅客攜帶行李物品報驗稅放辦法」第11條第1項第1款之規定，入境旅客之免稅限量為酒類1公升（不限瓶數）、捲菸200支或雪茄25支或菸絲1磅，但以年滿20歲之成年旅客為限。出境旅客則無購買數量之限制，視目的地國法規限制。
攜帶物品出入台灣,請問攜帶台灣唱片出境送給朋友，是否需要課稅,"
1. 少量唱片攜帶出境無特別規定。
2. 大量唱片攜帶入境需經NCC（國家通訊委員會）報備核准。
3. 其餘請洽海關出境退稅櫃檯，洽詢電話：第一航廈03-3982308、第二航廈03-3983428
"
攜帶物品出入台灣,請問寵物出、入境的規定,各國攜帶寵物入境規定可能有所不同，建議事先洽詢各國檢疫單位。本機場寵物入出境洽詢電話，第一航廈：03-3982268、第二航廈：03-3983371
攜帶物品出入台灣,請問外國人來台灣消費，何種消費可以退稅，何種不行,"
1. 需於標示有TRS（Tax refund service）商店消費。
2. 於本國出境前消費完畢、未帶出境之商品不可退稅，例如即食品。
"
攜帶物品出入台灣,請問保健品、藥品可否出境台灣，該向誰詢問,少量保健品、藥品無限制，數量較多建議洽衛生福利部食品藥物管理署，洽詢電話：02-27878000及02-27878200。
攜帶物品出入台灣,請問退稅櫃檯服務時間與退稅方式,退稅櫃檯配合出境航班時間提供服務。請外籍旅客攜帶退稅證明文件（退稅明細證明表、發票、護照、退稅商品）洽退稅櫃檯辦理。如有其他問題請電洽：第一航廈03-3982308、第二航廈03-3983428。
攜帶物品出入台灣,請問入境攜帶物品台灣方面有無什麼規定　（海關/動植物檢疫/疾病管制署/標準檢驗局）,"
1. 新臺幣超過10萬元、人民幣超過2萬元、外幣超過美金1萬元或等值之其他外幣、黃金超過2萬元美金、有價證券總面額達等值1萬美元等，應向海關申報。
2. 生鮮農畜產品、動物類加工食品應向動植物防疫檢疫局申報。
3. 其餘請洽海關入境申報檯，洽詢電話：第一航廈03-3982307、第二航廈03-3983384。
"
攜帶物品出入台灣,請問保建品、藥品可否入境台灣，該向誰詢問,少量保健品、藥品無限制，數量較多建議洽衛生福利部食品藥物管理署，洽詢電話：02-27878000及02-27878200。
攜帶物品出入台灣,請問出境攜帶物品海關的規定,"
1. 新台幣超過10萬元、人民幣超過2萬元、外幣超過美金10,000元或等值之其他外幣、黃金超過2萬元美金、有價證券總面額達等值1萬美元等，應向海關申報。
2. 其餘請洽海關出境退稅櫃檯，洽詢電話：第一航廈03-3982308、第二航廈03-3983428。
"
攜帶物品出入台灣,請問有關食品類可否出境台灣，該向誰詢問,本國不對出境食品進行管制，惟各國對於食品入境規定不同，建議先行洽詢相關資訊，洽詢電話：03-3834265
攜帶物品出入台灣,請問如何判別此物品是否需要課稅,"
1. 常見免稅物品為菸（1條）、酒（1瓶），其餘物品規定以稅額2萬元以下免稅為原則。
2. 其餘請洽海關入境申報檯，洽詢電話：第一航廈03-3982307、第二航廈03-3983384
"
攜帶物品出入台灣,請問有關食品類可否入境台灣，該向誰詢問,"生鮮農畜產品攜帶入境須向動植物防疫檢疫局申報，違者沒入並處新台幣3,000~15,000元罰款；加工類食品植物類不須申報，動物類須申報，洽詢電話：第一航廈03-3982307、第二航廈03-3983384"
手機與通訊,請問哪裡可以租借手機/購買SIM卡及其服務時間,"

1. 電話卡銷售等電信服務於第一航廈及第二航廈1樓接機大廳，營業時間為08：00~21：00。 更多資訊詳見手機電信諮詢頁面
2. 本機場無租借手機服務。
"
手機與通訊,請問哪裡可以買電話卡,"電話卡販售，位置如下：

1. 電信業者櫃台：第一航廈、第二航廈接機大廳及中華電信出境大廳櫃台均有販售。
2. 統一便利商店：第二航廈2樓代售1C中華電信的電話卡、國際電話卡

第一、二航廈均設兌幣及電話卡販售之兩用機。"
手機與通訊,請問有無網路租借服務,網路租借服務請洽特樂通，位於第一航廈和第二航廈出、入境共四處。
 行李,請問行李鎖頭不見／損壞該如何處理,"

    請至行李提領區（海關之前）的各航空公司行李服務櫃檯申報，將會有航空公司人員為您提供協助，詳見航空公司服務台頁面。
"
 行李,請問哪裡可以寄存行李（入境台灣遊玩兩天，行李想要放在機場管制區外）,行李寄存可洽宅配通，位於第一航廈入境北側1樓，第二航廈入境南側1樓及3樓，詳見行李寄存頁面
 行李,請問哪裡可以存寄存關行李（不入境台灣的行李），如何辦理，如何取件，費用如何收取,"
1. 存關行李於第一、第二航廈行李提領大廳皆設有寄存櫃檯，寄存費用依重量收費每件200~500元，單次最長寄存天數以30天為限，洽詢電話：第一航廈03-3982326、第二航廈03-3983369。
2. 離境須提領行李時，請事先電洽03-3982459，由服務人員提領至第一、第二航廈出境管制區內交付。
"
 行李,請問行李內容物遺失該如何處理,請至行李提領區（海關之前）的各航空公司行李服務櫃檯申報， 將會有航空公司人員為您提供協助，詳見航空公司服務台頁面。
 行李,請問行李箱遺失該如何處理,請至行李提領區（海關之前）的各航空公司行李服務櫃檯申報，將會有航空公司人員為您提供協助，詳見航空公司服務台頁面。
 行李,請問哪裡有打包服務可以打包大件行李（腳踏車等）,（大件）行李打包可洽宅配通，於第一航廈1樓出境大廳北側，第二航廈1樓接機大廳南側及3樓出境大廳南側，詳見行李打包及宅配頁面。
 行李,請問行李箱損壞該如何處理,"請至行李提領區（海關之前）的各航空公司行李服務櫃檯申報， 將會有航空公司人員為您提供協助。
詳見航空公司服務台頁面
"
 行李,請問機場第一、第二航廈有無行李秤重量服務，如何收費,免費行李秤重服務可洽宅配通，位於第一航廈1樓接機大廳北側，第二航廈1樓接機大廳南側及3樓出境大廳，詳見行李寄存與打包頁面。
 行李,請問出入境有無幫忙提行李的服務,目前無提供幫忙提行李的服務。
其他,請問哪裡可以寄包裹到國外,"
第一航廈、第二航廈1樓中華郵政皆可寄送包裹到國外，詳見郵局頁面"
其他,請問出境時需要輪椅服務要如何申請（管制區內與外使用）,旅客可於訂位時間所搭乘班機的航空公司申請派輪椅接送，也可於出境報到時向該航空公司提出申請。
其他,請問機場內吸煙區的位置,"

一、非管制區之吸菸區：

1. 第一航廈1樓、B1共12處吸菸區
2. 第二航廈1樓、3樓、B1共13處吸菸區



二、管制區之吸菸區：

1. 第一航廈：出境管制區近A9及B8登機門區。
2. 第二航廈：出境管制區證照查驗後南、北側廊道。



三、機坪指定吸菸區：
        A3、A8、B1、B9、C8及C10設有機坪區域之指定吸菸區。
    

詳見機場地圖"
其他,請問哪裏有店家或設備可以儲值悠遊卡,本機場本機場第一航廈B1統一便利商店和B2統一便利商店可儲值悠遊卡，詳見便利商店頁面
其他,請問如何知道飛機停靠在哪個航廈,"
一、出境航空公司航廈別可參考桃園機場網站航空公司查詢頁面

        二、桃園機場設有多處標誌供旅客辨別航空公司位置：
        
1. 道路標誌部分：分別設於國道2號進機場（航站南路）及台4線進機場（航勤北路）之道路兩旁。
2. 第一航廈部分：大客車下車處、出境小客車下車處、非管制區電車候車月台設有多處標誌指引說明。於出境小客車下車處、航廈巡迴巴士候車室、非管制區候車月台、入境層兩航廈交界處設有多處標誌指引說明。


三、客運巴士車輛內或候車處有提供航廈資訊。
"
其他,詢問若想在大廳辦活動，是否須申請,應依「桃園國際機場航廈場地使用要點」於使用日前30日檢附相關文件提出申請，詳見桃園機場公司網站表單下載頁面
其他,請問機場是否24小時開放,桃園機場24小時開放。
其他,請問外幣兌換的銀行服務時間,"

        一、提供24小時外幣兌換之銀行位置如下：
        
1. 第一航廈1樓接機大廳北側
2. 第一航廈1樓行李提領大廳內入境出口
3. 第二航廈1樓行李提領大廳內入境出口
4. 第二航廈1樓接機大廳北側


二、其餘銀行換匯位置，因航班抵達即出發時間而有不同，詳見銀行頁面。
"
其他,請問入境旅客可否租借輪椅至機場外台灣各地旅遊,目前尚未提供此服務。
其他,請問如何找到機場的貨運量、客運量等資訊，該資訊如何獲取,"一般運量資訊可由本公司網站取得，詳間桃園國際機場公司網站：

客運量：https://www.taoyuanairport.com.tw/passengervolume
貨運量：https://www.taoyuanairport.com.tw/cargovolume
"
其他,請問病人入境台灣的規定,"
1. 非疑似傳染病患入境，如行動不便，可向航空公司申請輪椅服務，餘無其他限制。
2. 疑似傳染病換入境，須事先通報本國疾病管制署（北區管制中心：03-3982583），以便提供相關防護建議及醫處準備。
"
其他,請問機場內所有需付費的設施是否可以用外幣使用（美金歐元等）,各餐廳及商店均收美金、日元、人民幣、港幣。
其他,請問機場稅是如何收取的,機場服務費是由航空公司隨機票代收。
其他,請問機場停車場殘障車位如何計算停車費,身心障礙旅客於桃園國際機場停車場內停車，憑證明可享「當日當次免費」優惠。
其他,請問APEC會員可否使用專用通道，如何使用,目前入出境安檢、查驗皆設有APEC優先通道，使用時請出示APEC會員證明。
其他,詢問寵物可否進入機場接送機,不落地（抱於手中或置於寵物籃）寵物原則不禁止，大型寵物不得進入航廈送機。
其他,請問從桃園機場搭機出國是否還要另外付稅金,"
1. 機場服務費已含在機票內，不需另外付費。
2. 轉機旅客不需付本機場服務費。
"
其他,請問如何開立誤點證明,若需要開立延誤證明請直接洽詢所搭乘之航空公司，詳見航空公司查詢頁面
其他,請問哪裡可以寄包裹到台灣各地,"台灣國內寄送包裹可到郵局、宅配通或便利商店，位置如下：

1. 郵局：第一航廈1樓接機大廳南側和第二航廈1樓接機大廳北側
2. 宅配通：第一航廈1樓接機大廳北側、第二航廈1樓接機大廳南側和第二航廈出境大廳
3. 便利商店：第一航廈B1統一便利商店（惟包裹尺寸以25*25*40公分為限）
"
其他,請問機場有無提供台灣一日遊或半日遊的行程與服務諮詢,暫停服務洽詢電話：第一航廈：03-3982790第二航廈：03-3983341
其他,請問哪裡有ATM,本機場內有台灣銀行、兆豐銀行和中華郵政的ATM，位置如下：第一航廈：1樓出境大廳、1樓接機大廳、3樓出境大廳、3樓入境查驗大廳和B1銀行櫃檯。第二航廈：1樓接機大廳、2樓入境查驗大廳、3樓出境大廳和B2銀行櫃檯。
其他,請問可以帶寵物至大廳接機嗎,不落地（抱於手中或置於寵物籃）寵物原則不禁止，大型寵物不得進入航廈接機。
其他,請問出境可否走不同航廈（長榮至T2掛好行李後，走T1安檢移民署進管制區內）,"
1. 原則上不同意這種作法，移民署系統將無法核對旅客已完成報到之資訊。
2. 如發生此類情況時，移民署將要求旅客辦理退關，重新回至原來辦理報到之航廈出境。
"
